"","","","D9","","FSTP1","","","","","Store Floating Point Value and Pop"
"","","","D9","","FSTP1","","","","","Store Floating Point Value and Pop"
"","","","D9","","FLDENV","","","Me","","Load x87 FPU Environment"
"","","","D9","E0","FCHS","","","","","Change Sign"
"","","","D9","E1","FABS","","","","","Absolute Value"
"","","","D9","E4","FTST","","","","","Test"
"","","","D9","E5","FXAM","","","","","Examine"
"","","","D9","","FLDCW","","","Mw","","Load x87 FPU Control Word"
"","","","D9","E8","FLD1","","","","","Load Constant +1.0"
"","","","D9","E9","FLDL2T","","","","","Load Constant log"
"","","","D9","EA","FLDL2E","","","","","Load Constant log"
"","","","D9","EB","FLDPI","","","","","Load Constant π"
"","","","D9","EC","FLDLG2","","","","","Load Constant log"
"","","","D9","ED","FLDLN2","","","","","Load Constant log"
"","","","D9","EE","FLDZ","","","","","Load Constant +0.0"
"","","","D9","","FNSTENV","Me","","","","Store x87 FPU Environment"
"","9B","","D9","","FSTENV","Me","","","","Store x87 FPU Environment"
"","","","D9","F0","F2XM1","","","","","Compute 2"
"","","","D9","F1","FYL2X","","","","","Compute y × log"
"","","","D9","F2","FPTAN","","","","","Partial Tangent"
"","","","D9","F3","FPATAN","","","","","Partial Arctangent and Pop"
"","","","D9","F4","FXTRACT","","","","","Extract Exponent and Significand"
"","","","D9","F5","FPREM1","","","","","IEEE Partial Remainder"
"","","","D9","F6","FDECSTP","","","","","Decrement Stack-Top Pointer"
"","","","D9","F7","FINCSTP","","","","","Increment Stack-Top Pointer"
"","","","D9","","FNSTCW","Mw","","","","Store x87 FPU Control Word"
"","9B","","D9","","FSTCW","Mw","","","","Store x87 FPU Control Word"
"","","","D9","F8","FPREM","","","","","Partial Remainder (for compatibility with i8087 and i287)"
"","","","D9","F9","FYL2XP1","","","","","Compute y × log"
"","","","D9","FA","FSQRT","","","","","Square Root"
"","","","D9","FB","FSINCOS","","","","","Sine and Cosine"
"","","","D9","FC","FRNDINT","","","","","Round to Integer"
"","","","D9","FD","FSCALE","","","","","Scale"
"","","","D9","FE","FSIN","","","","","Sine"
"","","","D9","FF","FCOS","","","","","Cosine"
"","","","DA","","FIADD","","","Mdi","","Add"
"","","","DA","","FCMOVB","ST","","","","FP Conditional Move - below (CF=1)"
"","","","DA","","FIMUL","","","Mdi","","Multiply"
"","","","DA","","FCMOVE","ST","","","","FP Conditional Move - equal (ZF=1)"
"","","","DA","","FICOM","","","","Mdi","Compare Integer"
"","","","DA","","FCMOVBE","ST","","","","FP Conditional Move - below or equal (CF=1 or ZF=1)"
"","","","DA","","FICOMP","","","","Mdi","Compare Integer and Pop"
"","","","DA","","FCMOVU","ST","","","","FP Conditional Move - unordered (PF=1)"
"","","","DA","","FISUB","","","Mdi","","Subtract"
"","","","DA","","FISUBR","","","Mdi","","Reverse Subtract"
"","","","DA","E9","FUCOMPP","","","","","Unordered Compare Floating Point Values and Pop Twice"
"","","","DA","","FIDIV","","","Mdi","","Divide"
"","","","DA","","FIDIVR","","","Mdi","","Reverse Divide"
"","","","DB","","FILD","","","Mdi","","Load Integer"
"","","","DB","","FCMOVNB","ST","","","","FP Conditional Move - not below (CF=0)"
"","","","DB","","FISTTP","Mdi","","","","Store Integer with Truncation and Pop"
"","","","DB","","FCMOVNE","ST","","","","FP Conditional Move - not equal (ZF=0)"
"","","","DB","","FIST","Mdi","","","","Store Integer"
"","","","DB","","FCMOVNBE","ST","","","","FP Conditional Move - below or equal (CF=0 and ZF=0)"
"","","","DB","","FISTP","Mdi","","","","Store Integer and Pop"
"","","","DB","","FCMOVNU","ST","","","","FP Conditional Move - not unordered (PF=0)"
"","","","DB","E0","FNENI","","","","","Enable NPX Interrupt"
"","9B","","DB","E0","FENI","","","","","Enable NPX Interrupt"
"","","","DB","E0","FNENI","","","","","Treated as Integer NOP"
"","","","DB","E1","FNDISI","","","","","Disable NPX Interrupt"
"","9B","","DB","E1","FDISI","","","","","Disable NPX Interrupt"
"","","","DB","E1","FNDISI","","","","","Treated as Integer NOP"
"","","","DB","E2","FNCLEX","","","","","Clear Exceptions"
"","9B","","DB","E2","FCLEX","","","","","Clear Exceptions"
"","","","DB","E3","FNINIT","","","","","Initialize Floating-Point Unit"
"","9B","","DB","E3","FINIT","","","","","Initialize Floating-Point Unit"
"","","","DB","E4","FNSETPM","","","","","Set Protected Mode"
"","9B","","DB","E4","FSETPM","","","","","Set Protected Mode"
"","","","DB","E4","FNSETPM","","","","","Treated as Integer NOP"
"","","","DB","","FLD","","","Mer","","Load Floating Point Value"
"","","","DB","","FUCOMI","","","ST","","Unordered Compare Floating Point Values and Set EFLAGS"
"","","","DB","","FCOMI","","","ST","","Compare Floating Point Values and Set EFLAGS"
"","","","DB","","FSTP","Mer","","","","Store Floating Point Value and Pop"
"","","","DC","","FADD","","","Mdr","","Add"
"","","","DC","","FADD","","","ST","","Add"
"","","","DC","","FMUL","","","Mdr","","Multiply"
"","","","DC","","FMUL","","","ST","","Multiply"
"","","","DC","","FCOM","","","","Mdr","Compare Real"
"","","","DC","","FCOM2","","","","","Compare Real"
"","","","DC","","FCOM2","","","","","Compare Real"
"","","","DC","","FCOMP","","","","Mdr","Compare Real and Pop"
"","","","DC","","FCOMP3","","","","","Compare Real and Pop"
"","","","DC","","FCOMP3","","","","","Compare Real and Pop"
"","","","DC","","FSUB","","","Mdr","","Subtract"
"","","","DC","","FSUBR","","","ST","","Reverse Subtract"
"","","","DC","","FSUBR","","","Mdr","","Reverse Subtract"
"","","","DC","","FSUB","","","ST","","Subtract"
"","","","DC","","FDIV","","","Mdr","","Divide"
"","","","DC","","FDIVR","","","ST","","Reverse Divide"
"","","","DC","","FDIVR","","","Mdr","","Reverse Divide"
"","","","DC","","FDIV","","","ST","","Divide and Pop"
"","","","DD","","FLD","","","Mdr","","Load Floating Point Value"
"","","","DD","","FFREE","","","","","Free Floating-Point Register"
"","","","DD","","FISTTP","Mqi","","","","Store Integer with Truncation and Pop"
"","","","DD","","FXCH4","","","","","Exchange Register Contents"
"","","","DD","","FXCH4","","","","","Exchange Register Contents"
"","","","DD","","FST","Mdr","","","","Store Floating Point Value"
"","","","DD","","FST","","","","","Store Floating Point Value"
"","","","DD","","FSTP","Mdr","","","","Store Floating Point Value and Pop"
"","","","DD","","FSTP","","","","","Store Floating Point Value and Pop"
"","","","DD","","FRSTOR","","","Mst","","Restore x87 FPU State"
"","","","DD","","FUCOM","","","","","Unordered Compare Floating Point Values"
"","","","DD","E1","FUCOM","","","","","Unordered Compare Floating Point Values"
"","","","DD","","FUCOMP","","","","","Unordered Compare Floating Point Values and Pop"
"","","","DD","E9","FUCOMP","","","","","Unordered Compare Floating Point Values and Pop"
"","","","DD","","FNSAVE","Mst","","","","Store x87 FPU State"
"","9B","","DD","","FSAVE","Mst","","","","Store x87 FPU State"
"","","","DD","","FNSTSW","Mw","","","","Store x87 FPU Status Word"
"","9B","","DD","","FSTSW","Mw","","","","Store x87 FPU Status Word"
"","","","DE","","FIADD","","","Mwi","","Add"
"","","","DE","","FADDP","","","ST","","Add and Pop"
"","","","DE","C1","FADDP","","","","","Add and Pop"
"","","","DE","","FIMUL","","","Mwi","","Multiply"
"","","","DE","","FMULP","","","ST","","Multiply and Pop"
"","","","DE","C9","FMULP","","","","","Multiply and Pop"
"","","","DE","","FICOM","","","","Mwi","Compare Integer"
"","","","DE","","FCOMP5","","","","","Compare Real and Pop"
"","","","DE","","FCOMP5","","","","","Compare Real and Pop"
"","","","DE","","FICOMP","","","","Mwi","Compare Integer and Pop"
"","","","DE","D9","FCOMPP","","","","","Compare Real and Pop Twice"
"","","","DE","","FISUB","","","Mwi","","Subtract"
"","","","DE","","FSUBRP","","","ST","","Reverse Subtract and Pop"
"","","","DE","E1","FSUBRP","","","","","Reverse Subtract and Pop"
"","","","DE","","FISUBR","","","Mwi","","Reverse Subtract"
"","","","DE","","FSUBP","","","ST","","Subtract and Pop"
"","","","DE","E9","FSUBP","","","","","Subtract and Pop"
"","","","DE","","FIDIV","","","Mwi","","Divide"
"","","","DE","","FDIVRP","","","ST","","Reverse Divide and Pop"
"","","","DE","F1","FDIVRP","","","","","Reverse Divide and Pop"
"","","","DE","","FIDIVR","","","Mwi","","Reverse Divide"
"","","","DE","","FDIVP","","","ST","","Divide and Pop"
"","","","DE","F9","FDIVP","","","","","Divide and Pop"
"","","","DF","","FILD","","","Mwi","","Load Integer"
"","","","DF","","FFREEP","","","","","Free Floating-Point Register and Pop"
"","","","DF","","FISTTP","Mwi","","","","Store Integer with Truncation and Pop"
"","","","DF","","FXCH7","","","","","Exchange Register Contents"
"","","","DF","","FXCH7","","","","","Exchange Register Contents"
"","","","DF","","FIST","Mwi","","","","Store Integer"
"","","","DF","","FSTP8","","","","","Store Floating Point Value and Pop"
"","","","DF","","FSTP8","","","","","Store Floating Point Value and Pop"
"","","","DF","","FISTP","Mwi","","","","Store Integer and Pop"
"","","","DF","","FSTP9","","","","","Store Floating Point Value and Pop"
"","","","DF","","FSTP9","","","","","Store Floating Point Value and Pop"
"","","","DF","","FBLD","","","Mbcd","","Load Binary Coded Decimal"
"","","","DF","E0","FNSTSW","AX","","","","Store x87 FPU Status Word"
"","9B","","DF","E0","FSTSW","AX","","","","Store x87 FPU Status Word"
"","","","DF","","FILD","","","Mqi","","Load Integer"
"","","","DF","","FUCOMIP","","","ST","","Unordered Compare Floating Point Values and Set EFLAGS and Pop"
"","","","DF","","FBSTP","Mbcd","","","","Store BCD Integer and Pop"
"","","","DF","","FCOMIP","","","ST","","Compare Floating Point Values and Set EFLAGS and Pop"
"","","","DF","","FISTP","Mqi","","","","Store Integer and Pop"
"","","","E0","","LOOPNZ","","","Jbs","","Decrement count; Jump short if count!=0 and ZF=0"
"","","","E1","","LOOPZ","","","Jbs","","Decrement count; Jump short if count!=0 and ZF=1"
"","","","E2","","LOOP","","","Jbs","","Decrement count; Jump short if count!=0"
"","","","E3","","JCXZ","","","Jbs","","Jump short if eCX register is 0"
"","","","E4","","IN","AL","","Ib","","Input from Port"
"","","","E5","","IN","eAX","","Ib","","Input from Port"
"","","","E6","","OUT","Ib","","AL","","Output to Port"
"","","","E7","","OUT","Ib","","eAX","","Output to Port"
"","","","E8","","CALL","","","Jvds","","Call Procedure"
"","","","E9","","JMP","","","Jvds","","Jump"
"","","","EA","","JMPF","","","Ap","","Jump"
"","","","EB","","JMP","","","Jbs","","Jump"
"","","","EC","","IN","AL","","DX","","Input from Port"
"","","","ED","","IN","eAX","","DX","","Input from Port"
"","","","EE","","OUT","DX","","AL","","Output to Port"
"","","","EF","","OUT","DX","","eAX","","Output to Port"
"","","","F1","","INT1","","","","","Call to Interrupt Procedure"
"","","","F4","","HLT","","","","","Halt"
"","","","F5","","CMC","","","","","Complement Carry Flag"
"","","","F6","","TEST","","","Eb","Ib","Logical Compare"
"","","","F6","","TEST","","","Eb","Ib","Logical Compare"
"","","","F6","","NOT","Eb","","","","One's Complement Negation"
"","","","F6","","NEG","Eb","","","","Two's Complement Negation"
"","","","F6","","MUL","","","","Eb","Unsigned Multiply"
"","","","F6","","IMUL","","","","Eb","Signed Multiply"
"","","","F6","","DIV","","","","Eb","Unsigned Divide"
"","","","F6","","IDIV","","","","Eb","Signed Divide"
